unicode 15.1.0
alpha 2DD0 2DD6
alpha 2DD8 2DDE
alpha 2E2F 2E2F
alpha 3005 3006
alpha 3031 3035
alpha 303B 303C
alpha 3041 3096
alpha 309D 309F
alpha 30A1 30FA
alpha 30FC 30FF
alpha 3105 312F
alpha 3131 318E
alpha 31A0 31BF
alpha 31F0 31FF
alpha 3400 4DBF
alpha 4E00 A48C
alpha A4D0 A4FD
alpha A500 A60C
alpha A610 A61F
alpha A62A A62B
alpha A640 A66E
alpha A67F A69D
alpha A6A0 A6E5
alpha A717 A71F
alpha A722 A788
alpha A78B A7CA
alpha A7D0 A7D1
alpha A7D3 A7D3
alpha A7D5 A7D9
alpha A7F2 A801
alpha A803 A805
alpha A807 A80A
alpha A80C A822
alpha A840 A873
alpha A882 A8B3
alpha A8F2 A8F7
alpha A8FB A8FB
alpha A8FD A8FE
alpha A90A A925
alpha A930 A946
alpha A960 A97C
alpha A984 A9B2
alpha A9CF A9CF
alpha A9E0 A9E4
alpha A9E6 A9EF
alpha A9FA A9FE
alpha AA00 AA28
alpha AA40 AA42
alpha AA44 AA4B
alpha AA60 AA76
alpha AA7A AA7A
alpha AA7E AAAF
alpha AAB1 AAB1
alpha AAB5 AAB6
alpha AAB9 AABD
alpha AAC0 AAC0
alpha AAC2 AAC2
alpha AADB AADD
alpha AAE0 AAEA
alpha AAF2 AAF4
alpha AB01 AB06
alpha AB09 AB0E
alpha AB11 AB16
alpha AB20 AB26
alpha AB28 AB2E
alpha AB30 AB5A
alpha AB5C AB69
alpha AB70 ABE2
alpha AC00 D7A3
alpha D7B0 D7C6
alpha D7CB D7FB
alpha F900 FA6D
alpha FA70 FAD9
alpha FB00 FB06
alpha FB13 FB17
alpha FB1D FB1D
alpha FB1F FB28
alpha FB2A FB36
alpha FB38 FB3C
alpha FB3E FB3E
alpha FB40 FB41
alpha FB43 FB44
alpha FB46 FBB1
alpha FBD3 FD3D
alpha FD50 FD8F
alpha FD92 FDC7
alpha FDF0 FDFB
alpha FE70 FE74
alpha FE76 FEFC
alpha FF21 FF3A
alpha FF41 FF5A
alpha FF66 FFBE
alpha FFC2 FFC7
alpha FFCA FFCF
alpha FFD2 FFD7
alpha FFDA FFDC
alpha 10000 1000B
alpha 1000D 10026
alpha 10028 1003A
alpha 1003C 1003D
alpha 1003F 1004D
alpha 10050 1005D
alpha 10080 100FA
alpha 10280 1029C
alpha 102A0 102D0
alpha 10300 1031F
alpha 1032D 10340
alpha 10342 10349
alpha 10350 10375
